,id,pocket
0,6QK4.pdb,
1,6DMN.pdb,pocket3_atm.pdb
2,5NW7.pdb,pocket1_atm.pdb
3,4XP7.pdb,pocket1_atm.pdb
4,5K4P.pdb,
5,2A0B.pdb,
6,1Q16.pdb,pocket3_atm.pdb
7,3BP1.pdb,pocket5_atm.pdb
8,4KEH.pdb,pocket5_atm.pdb
9,4YII.pdb,
10,2BCQ.pdb,pocket4_atm.pdb
11,5WCJ.pdb,
12,7T93.pdb,pocket48_atm.pdb
13,3JXG.pdb,
14,8P0C.pdb,
15,3CU2.pdb,pocket12_atm.pdb
16,3QXZ.pdb,pocket13_atm.pdb
17,4ORR.pdb,pocket1_atm.pdb
18,3D2H.pdb,pocket29_atm.pdb
19,5ZRY.pdb,pocket1_atm.pdb
20,2QHO.pdb,
21,4AU1.pdb,
22,2XBL.pdb,pocket2_atm.pdb
23,6Y8S.pdb,
24,4HIB.pdb,pocket2_atm.pdb
25,6VFZ.pdb,pocket2_atm.pdb
26,6SK2.pdb,pocket2_atm.pdb
27,3PG6.pdb,pocket1_atm.pdb
28,1SGV.pdb,
29,1VJV.pdb,pocket1_atm.pdb
30,7UDQ.pdb,pocket14_atm.pdb
31,5DLO.pdb,
32,6OXC.pdb,
33,7UGH.pdb,pocket2_atm.pdb
34,5HKY.pdb,pocket12_atm.pdb
35,5KFV.pdb,pocket1_atm.pdb
36,1I58.pdb,pocket1_atm.pdb
37,3RCZ.pdb,
38,3GL6.pdb,
39,4LRS.pdb,pocket3_atm.pdb
40,3IP4.pdb,
41,8G7X.pdb,pocket4_atm.pdb
42,1VR6.pdb,
43,7OYN.pdb,pocket1_atm.pdb
44,1GXM.pdb,pocket2_atm.pdb
45,4DHI.pdb,
46,4J45.pdb,
47,8SS1.pdb,
48,2PV2.pdb,
49,7KPP.pdb,pocket1_atm.pdb
50,1TEZ.pdb,pocket15_atm.pdb
51,1GTT.pdb,
52,3CXM.pdb,pocket2_atm.pdb
53,6YA6.pdb,pocket1_atm.pdb
